	Cash Flow Statement																												
	Группа Promobot																												
																													
																													
		Ед. изм.	Ставка налога	База расчета	База расчета	2025(П)	2025(Ф)	2026	2026(Ф)	2026	2026(Ф)	статьи ддс из отчета бддс 																	
	Номер мес.			аванс	доплата			1	1	2	2																		
																													
																													
	Группа Promobot																												
	Денежные средства на конец периода:																												
	Собственные	тыс. руб.				16125	17343	11511.6581752118	#REF!	-12926.2600701524	#REF!																		
	Долг по ВКЛ	тыс. руб.						0	0	0	-18029																		
	Собственные с учетом долга по ВКЛ	тыс. руб.						11511.6581752118	#REF!	-12926.2600701524	#REF!	∑																	
	ЦРПР	тыс. руб.						0	#REF!	0	#REF!																		
																													
	Чистые денежные потоки	тыс. руб.						-4613.34182478822	#REF!	-24437.9182453642	#REF!																		
	Операционные	тыс. руб.						4321.53977521178	#REF!	-17334.0206453642	#REF!																		
	Поступления	тыс. руб.						22243.1692229098	6726	9063.31800118839	2039	∑																	
	от продаж продукции и товаров	тыс. руб.						22243.1692229098	6726	9063.31800118839	2039	=01.доходы(поступлени и тразитные операции) + 07.01. доходы црпр																	
	Платежи	тыс. руб.						-17921.629447698	#REF!	-26397.3386465525	#REF!	∑																	
	Накладные расходы	тыс. руб.						-1013	-482	-1037	-676	=02.01.1.НАКЛАДНЫЕ ПРОИЗВОДСТВЕННЫЕ РАСХОДЫ(-списание + поступление)																	
	Авансы поставщикам	тыс. руб.						-5243.04	-1753	-5670.36	-2633	=02.01.21. Аванс Сырье и материалы, услуги(-списание + поступление)																	
	Кредиторская задолженность	тыс. руб.						-1267	-1562	-3406	-3748	=02.01.22. Постоплата Сырье и материалы, услуги																	
	Производственные расходы	тыс. руб.						-67.574	-314	-127.788	-721	=02.01.3. ФОТ (20-25)																	
	Коммерческие расходы	тыс. руб.						-1611.72984769803	-2442	-1512.60344655254	-1055	=02.02. КОММЕРЧЕСКИЕ РАСХОДЫ(-списание + поступление)																	
	Управленческие расходы	тыс. руб.						-2450.0952	-4167	-3071.8304	-1396	=02.03. УПРАВЛЕНЧЕСКИЕ РАСХОДЫ(-списание + поступление) - 02.03.217/1. ФД Штрафы, пени, налоги и сборы																	
	Расходы ЦРПР (собств. ср-ва)	тыс. руб.						0	#REF!	-50	#REF!	=07.02.06.01. Прочие ЦРПР																	
	Расходы ЦРПР	тыс. руб.						-5443.1904	#REF!	-10695.7568	#REF!																		
	Прочие расходы	тыс. руб.																											
	Налог на прибыль	тыс. руб.	*	0.333333333333333	0.666666666666667																								
	НДС к уплате	тыс. руб.						-826	-6328	-826		=02.03.217/1. ФД Штрафы, пени, налоги и сборы																	
	Налог на имущество	тыс. руб.	0.022																										
	Инвестиционные	тыс. руб.						-8934.8816	#REF!	-7103.8976	#REF!	∑																	
	Капитальные вложения ОС	тыс. руб.						0		0																			
	Капитальные вложения ОС ЦРПР	тыс. руб.							#REF!	0	#REF!																		
	Капитальные вложения R&D	тыс. руб.						-8934.8816	-471	-7103.8976	-913	=06.01. Расходы на НИОКР																	
	Капитальные вложения R&D ЦРПР	тыс. руб.						0		0																			
	Изменение долгосрочных финансовых вложений	тыс. руб.																											
	Изменение краткосрочных финансовых вложений	тыс. руб.																											
	Финансовые денежные потоки:	тыс. руб.						0	-73	0	17990	∑																	
	Привлечение долга	тыс. руб.									18157	=03.01. Кредиты и займы полученные																	
	Выплата процентов по кредитам	тыс. руб.							-230		-45	=04.01. Проценты к уплате																	
	Оплата банковской гарантии за кредит	тыс. руб.																											
	Погашение долга	тыс. руб.									-128	=04.02. Погашение кредитов и займов																	
	Прочие поступления	тыс. руб.						0	157	0	6	∑																	
	Поступления: Грант ЦРПР	тыс. руб.						0		0																			
	Поступления: Субсидия МПТ 1649	тыс. руб.						0		0																			
	Поступления: Субсидия МПТ 1206	тыс. руб.																											
	Проценты по депозитам 	тыс. руб.							157		6	=03.02. Проценты к получению																	
	Изменение собственного капитала	тыс. руб.																											
	Уставный капитал	тыс. руб.																											
	Добавочный капитал	тыс. руб.																											
	Резервы	тыс. руб.																											
																													
	*Каждый месяц перечисляйте 1/3 квартального авансового платежа, который вы заявили в декларации по прибыли на очередной отчетный период																												
	Денежный поток для расчета бонусов КД							15665.5552229098	0	-140.829998811613	0																		
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
